video_id,title,channel_title,publish_date,category_id,tags,duration,viewCount,likeCount,commentCount
ztnoMk9l81Y&list=RDztnoMk9l81Y&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,Alvin Emanie - Bestie (official music video),Zero53music and Alvin Emanie,2 months ago,,,,1300000,,
OpztRxZpcYY&list=RDOpztRxZpcYY&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,MORNING OPM SONG : Best of the 80's 90's OPM Classic Love Songs (Lyrics),Rose Love Song,6 months ago,,,,5100000,,
Ds-c9wvvxYo&list=RDDs-c9wvvxYo&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,Restless Heart - When She Cries (Lyrics),TikTokHymn,1 year ago,,,,11000000,,
Gt8-xhZceaU&list=RDGt8-xhZceaU&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,Top Hits Spotify 2025 ~ Trending Songs 2025 🎵 Viral Songs Latest & New Pop Hits Playlist Mix 2025,Dynamic Deep House,7 days ago,,,,273000,,
r4A8Ia9ynFY&list=RDr4A8Ia9ynFY&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,SHERIYA,ARJN,,,,,7000000,,
lU_8CMrzB7s&list=RDlU_8CMrzB7s&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,Batmana Ansak (Remix) | New Trend Music Instagram,Planet Music,5 months ago,,,,12000000,,
1Wt9UUQ91g0&list=RD1Wt9UUQ91g0&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,Chill Acoustic Music 2025 New Songs with Lyrics 💖 Enjoy English Acoustic Songs Tune into Joyful,Acoustic Radio,6 months ago,,,,588000,,
NNBpEVsvCcA&list=RDNNBpEVsvCcA&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,Rema - KELEBU (Official Dance Video),Rema,1 month ago,,,,5200000,,
7GblGYj2LOU&list=RD7GblGYj2LOU&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwHSBwkJBgoBhyohjO8%3D,Mugs - New York  (Official Music Video),mugs,2 months ago,,,,456000,,
7adDm9YACpE&list=RD7adDm9YACpE&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,"Davido - Funds (Official Video) ft. ODUMODUBLVCK, Chike",Davido,10 months ago,,,,25000000,,
wk-Db1DzqfE&list=RDwk-Db1DzqfE&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,Dahaa Theme | Coolie | Superstar Rajinikanth | Amir Khan | Lokesh | Anirudh | Sun Pictures,Sun TV,1 month ago,,,,10000000,,
o8xFMkVc9gw&list=RDo8xFMkVc9gw&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,Teejay - phenomenal (Official Video),Teejay,5 months ago,,,,7000000,,
qhWumfuhf8w&list=RDqhWumfuhf8w&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,"Best OPM Rap Love Songs 2025 💘 IMMA FLIRT – Nateman, Lucky | Top Spotify Hits Philippines",Midnight Tears,3 months ago,,,,1500000,,
_ubIpFG0JZc&list=RD_ubIpFG0JZc&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,Viral songs latest ~ Top Songs Spotify 2025 - Trending Tiktok songs 2025 (Playlist Mix Hits),Melody Chill Mix,3 months ago,,,,1100000,,
uCTzC3y4kbU&list=RDuCTzC3y4kbU&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,MATATA ft. BIEN - MPISHI  [Official Music Video],MATATA OFFICIAL,5 months ago,,,,13000000,,
MrUqwxLMjfA&list=RDMrUqwxLMjfA&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,"Skusta Clee Greatest Hits 2025: Kalimutan Ka, Zebbiana, Dyosa, Dance With You- OPM Trending Playlist",Midnight Tears,4 months ago,,,,1700000,,
p0611evjMZ8&list=RDp0611evjMZ8&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,VEDO - Fine Shyt (Lyrics),Tik Top Vibes,4 months ago,,,,1700000,,
_Wg7LWQ-uZc&pp=ygUOdHJlbmRpbmcgbXVzaWM%3D,TIKTOK DANCE MASHUP 2025 | Trending Dance Compilation - SEPTEMBER 2025 | Part 1  #tiktok #dance,CHALA VIDZ,1 month ago,,,,3300000,,
mNuXczFSvdY&list=RDmNuXczFSvdY&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,"Thudarum - Pemari Video Song | Mohanlal, Shobana | Jakes Bejoy | Tharun Moorthy | M Renjith",Sony Music South,3 months ago,,,,11000000,,
xLgRlJSgMh4&list=RDxLgRlJSgMh4&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwHSBwkJBgoBhyohjO8%3D,Top songs 2024 🍰 Best trending music 2024 ~ Songs that make you dance,Love Life Lyrics,1 year ago,,,,121000,,
gKD1AhmpOoU&list=RDgKD1AhmpOoU&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,"ISHQ - Faheem Abdullah, Rauhan Malik (Lyrics) | #trending",Axjuu,1 year ago,,,,52000000,,
xenxGqXfoKU&list=RDxenxGqXfoKU&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,"OPM Trending 2025 - Cup Of Joe Live at Cozy Cove 🎶 Multo, Tingin, Misteryoso - Tagalog Love Songs",Midnight Tears,4 months ago,,,,1600000,,
s2oWPO2VIiE&list=RDs2oWPO2VIiE&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwHSBwkJBgoBhyohjO8%3D,Trending songs 2025 ~ Top hits Spotify 2025 ~ Songs to add your playlist (Mix Hits),Melody Chill Mix,6 months ago,,,,2300000,,
1EF0VOd3WGA&list=RD1EF0VOd3WGA&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,Doechii - Anxiety (Lyrics),Vibe Music,7 months ago,,,,75000000,,
AYWSmmwdN2A&list=RDAYWSmmwdN2A&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwHSBwkJBgoBhyohjO8%3D,Saksi Ang Langit - December Avenue | Best New Tagalog Love Songs 2025 - Hot Hits OPM Trending,Midnight Tears,4 months ago,,,,4900000,,
dpaXZ6rhhpA&list=RDdpaXZ6rhhpA&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,Hot Hits Philippines - MULTO | Best of Wish 107.5 Songs Playlist | OPM Trending 2025,OPM Wish 2025,3 weeks ago,,,,310000,,
--nU64s2y6g&list=RD--nU64s2y6g&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,"Best OPM Rap Songs 2025: Gotchu - Flow G, Imma Flirt - Nateman,.. | Top Spotify Hits Philippines",Midnight Tears,1 month ago,,,,478000,,
WXPfcRnz9Z8&list=RDWXPfcRnz9Z8&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,Trending - Dei V (Official Video),Dei V,2 years ago,,,,20000000,,
nON3ZmCQRxE&list=RDnON3ZmCQRxE&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwHSBwkJBgoBhyohjO8%3D,Rashley - Nafe (Official Music Video),Rashley mw,1 month ago,,,,489000,,
yImDbc7wf5A&list=RDyImDbc7wf5A&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwHSBwkJBgoBhyohjO8%3D,🌙 Top 20 OPM Viral Songs on Spotify 2025 | OPM Heartfelt Hits Playlist | You'll Be In My Heart,Midnight Tears,6 months ago,,,,1200000,,
oK7x2DELuo0&list=RDoK7x2DELuo0&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,BEST VIRAL TIKTOK DISCO PARTY 2025 - DJ JOHNREY DISCO REMIX,Dj Johnrey Masbate Remix,3 weeks ago,,,,942000,,
x5bCzePb1Cs&list=RDx5bCzePb1Cs&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,Top Hits OPM On Spotify 2025 - OPM Trending- Tagalog Love Songs Playlist: Kalimutan Ka - Skusta Clee,Midnight Tears,6 months ago,,,,4700000,,
-VmLucfN8PQ&list=RD-VmLucfN8PQ&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,Tiktok songs 2025 🍄 Best tiktok songs 2025 ~ Trending song latest,Love Poem,7 months ago,,,,3800000,,
yP3qfwjiMpM&list=RDyP3qfwjiMpM&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,Top OPM Hits Philippines 2025 🎶 July Trending Mix | Best Tagalog Songs on Spotify & YouTube,Midnight Tears,3 months ago,,,,1500000,,
CneU-LKeLfY&list=RDCneU-LKeLfY&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,Bandit 7teen - Pain (Official Music Video),Bandit7teenVEVO,3 weeks ago,,,,459000,,
9qfjsMebZhM&list=RD9qfjsMebZhM&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwHSBwkJBgoBhyohjO8%3D,🎧 Tensionado – Soapdish 💖 OPM Trending 2025 Playlist | Best Tagalog Love Songs & Spotify Hits PH 🇵🇭,Midnight Tears,11 days ago,,,,107000,,
LzuoKSzOIEQ&list=RDLzuoKSzOIEQ&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,Flow G - GOTCHU (Official Music Video),FLOW G,2 months ago,,,,11000000,,
UP_sOofoRic&list=RDUP_sOofoRic&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwHSBwkJBgoBhyohjO8%3D,Reggae Music Mix 2025 🎸 New Reggae Love Songs 🔔 All Time Favorite Reggae Songs 2025,Peaceful Music Hub,6 months ago,,,,3700000,,
mrQwjSLkcu0&list=RDmrQwjSLkcu0&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwHSBwkJBgoBhyohjO8%3D,(Top 1 Viral) OPM Acoustic Love Songs 2025 Playlist 💗 Best Of Wish 107.5 Song Playlist 2025,OPM Wish 2025,13 days ago,,,,171000,,
b-edELakp_8&list=RDb-edELakp_8&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,🎶 Hot Hits Philippines 2025 September Mix 💖 OPM Trending Songs | Top Spotify Playlist PH 🇵🇭,Midnight Acoustic,3 weeks ago,,,,174000,,
AYWSmmwdN2A&list=RDAYWSmmwdN2A&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,Saksi Ang Langit - December Avenue | Best New Tagalog Love Songs 2025 - Hot Hits OPM Trending,Midnight Tears,4 months ago,,,,4900000,,
RPIykhz53-E&list=RDRPIykhz53-E&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,TOXIC LYRIKALI - BACKBENCHER (Official Video),Toxic Lyrikali,3 months ago,,,,8500000,,
s2oWPO2VIiE&list=RDs2oWPO2VIiE&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,Trending songs 2025 ~ Top hits Spotify 2025 ~ Songs to add your playlist (Mix Hits),Melody Chill Mix,6 months ago,,,,2300000,,
tGna9DyUKU4&list=RDtGna9DyUKU4&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,TOP MALAYALAM REMIXES & MASHUPS 2025 🥵| Ultimate Party x Workout Playlist 🔥| 100% VIBE | DeXterDuke,DeXterDuke,1 month ago,,,,966000,,
-HKgi33y1rQ&list=RD-HKgi33y1rQ&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,Spoiler 4T3 - Skele Woo (Official Music Video) Prod Soundkraft,SPOILER 4T3,1 year ago,,,,4800000,,
Db63h6RQEbE&list=RDDb63h6RQEbE&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,Best songs that make you dance 2024 🍧 Dance playlist 2024 ~ Songs to sing & dance,Love Life Lyrics,1 year ago,,,,2800000,,
seQpPr_bQvI&list=RDseQpPr_bQvI&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,"Nandito Ako - Rob Deniel, Multo, Alipin | Top Trending OPM Love Songs 2025 🎶 Tagalog Romantic Hits",Midnight Acoustic,5 days ago,,,,72000,,
MWkIxYtB8Ag&pp=ygUOdHJlbmRpbmcgbXVzaWM%3D,"Trader's Lofi Jazz - Calm & Rich Jazz Music for Trading Session, Work, Study, Focus, Coding, Sleep",Musictag,3 years ago,,,,4500000,,
zbHEz2G1FbY&list=RDzbHEz2G1FbY&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,"OPM Trending 2025 🎧 Most Played Tagalog Songs | Spotify Viral Mix PH | Saksi Ang Langit, Multo",Midnight Tears,1 month ago,,,,727000,,
t9QUp5sZua4&list=RDt9QUp5sZua4&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,"KENDI KIREMI - CONFIRM REMIX FT ALL STARS ,FATHERMOH,SSARU,AVRIL,PARROTY VUNULU.[OFFICIAL VIDEO]",KENDI KIREMI MUSIC,2 months ago,,,,1600000,,
ihmxdiLX-rY&list=RDihmxdiLX-rY&start_radio=1&pp=ygUOdHJlbmRpbmcgbXVzaWOgBwE%3D,Best Acoustic Music 2025 New Songs 💖 Romantic English Songs with Lyrics 💖 Soft & Sweet Vibes,Acoustic Radio,5 days ago,,,,95000,,
